4.1,4.3,4.3,3.9,4.1,4.1,4.2,4.1,4.1,4.2,4.03,4.1,4.17,4.23,4.17
4.6,3.9,3.4,3.7,4.15,3.92,4.03,4.38,3.8,3.78,4.15,4.09,4.05,3.82,4.22
4,4,4,3.5,3.5,3.67,3.75,3.75,3.75,3.75,3.67,3.75,3.83,3.83,3.83
4.3,4,3.3,3.6,3.7,3.77,3.85,4,3.8,3.5,3.87,3.9,3.77,3.67,4
4.1,4.3,3.7,3,3.1,3.47,3.7,3.6,3.65,3.4,3.4,3.63,3.63,3.7,3.83
3.5,4.7,4.8,4.8,4.55,4.68,4.63,4.03,4.75,4.68,4.28,4.39,4.28,4.68,4.25
4,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.4,4.4,4.27,4.3,4.27,4.4,4.27
4.3,4.4,4.2,4,4.15,4.18,4.28,4.23,4.2,4.18,4.15,4.21,4.22,4.25,4.28
4.3,4.3,4.3,3.7,3.8,3.93,4.05,4.05,4,4.05,3.93,4.03,4.13,4.13,4.13
4.3,3.5,2.7,2.9,3.25,3.22,3.38,3.78,3.2,2.98,3.48,3.49,3.42,3.15,3.68
1.6,4.5,4.5,4.9,4.7,4.7,4.6,3.15,4.7,4.6,3.73,3.93,3.6,4.57,3.6
3.3,4,4,3.8,3.3,3.7,3.65,3.3,3.9,3.65,3.47,3.6,3.53,3.77,3.53
2.8,3.7,3.7,4.1,4.5,4.1,4.1,3.65,3.9,4.1,3.8,3.78,3.67,3.97,3.67
4.6,4.1,3.4,3.6,3.7,3.8,3.9,4.15,3.85,3.55,3.97,4,3.9,3.73,4.13
4.3,4.6,4.6,3.9,3.7,4.07,4.15,4,4.25,4.15,3.97,4.13,4.2,4.3,4.2
4.1,4.3,3.6,4.2,4.45,4.32,4.38,4.28,4.25,4.03,4.25,4.26,4.05,4.12,4.28
1.6,4.1,4.7,4.8,4.4,4.43,4.25,3,4.45,4.55,3.6,3.73,3.57,4.4,3.37
4,4,4,2,3.25,3.08,3.63,3.63,3,3.63,3.08,3.31,3.75,3.75,3.75
3,2.7,2.7,3.6,4.2,3.5,3.45,3.6,3.15,3.45,3.6,3.38,3.3,3.2,3.3
3,3,3,2.5,3,2.83,3,3,2.75,3,2.83,2.88,3,3,3
3.5,3.5,3.5,1,2,2.17,2.75,2.75,2.25,2.75,2.17,2.5,3,3,3
4.7,4.4,4.4,3.7,4,4.03,4.2,4.35,4.05,4.2,4.13,4.2,4.37,4.27,4.37
4,4,4,1,4,3,4,4,2.5,4,3,3.25,4,4,4
3.5,3.5,3.5,3,4,3.5,3.75,3.75,3.25,3.75,3.5,3.5,3.67,3.67,3.67
4.5,4.1,4.1,3.2,3.4,3.57,3.75,3.95,3.65,3.75,3.7,3.8,4,3.87,4
3.6,3.4,3.2,3.3,3.45,3.38,3.43,3.53,3.35,3.33,3.45,3.44,3.42,3.35,3.48
3.3,4,4,3.8,3.3,3.7,3.65,3.3,3.9,3.65,3.47,3.6,3.53,3.77,3.53
4.4,4.3,4,4.1,3.7,4.03,4,4.05,4.2,3.85,4.07,4.13,4.03,4,4.13
4.1,4.3,3.6,4.2,4.45,4.32,4.38,4.28,4.25,4.03,4.25,4.26,4.05,4.12,4.28
4.3,3.9,3.4,3.3,2.7,3.3,3.3,3.5,3.6,3.05,3.43,3.55,3.47,3.33,3.63
5,5,5,3,4,4,4.5,4.5,4,4.5,4,4.25,4.67,4.67,4.67
5,5,5,4,5,4.67,5,5,4.5,5,4.67,4.75,5,5,5
4,3.5,3.5,2.4,2.4,2.77,2.95,3.2,2.95,2.95,2.93,3.08,3.3,3.13,3.3
3.8,4.3,4.6,4.7,4.7,4.57,4.5,4.25,4.5,4.65,4.4,4.38,4.37,4.53,4.27
3.7,3.6,3.6,3,3.3,3.3,3.45,3.5,3.3,3.45,3.33,3.4,3.53,3.5,3.53
4.4,4.1,4.1,3,3.2,3.43,3.65,3.8,3.55,3.65,3.53,3.68,3.9,3.8,3.9
1.9,3.6,4.5,4.7,4.5,4.27,4.05,3.2,4.15,4.5,3.7,3.68,3.63,4.2,3.33
4.5,4,4,4.2,4,4.07,4,4.25,4.1,4,4.23,4.18,4.17,4,4.17
3.3,4,4,3.8,3.3,3.7,3.65,3.3,3.9,3.65,3.47,3.6,3.53,3.77,3.53
3.8,3.6,3.1,3.1,3.75,3.48,3.68,3.78,3.35,3.43,3.55,3.56,3.55,3.48,3.72
4.3,4.8,4.8,4.6,4.7,4.7,4.75,4.5,4.7,4.75,4.53,4.6,4.6,4.77,4.6
3.7,4.5,4.4,4.5,4.4,4.47,4.45,4.05,4.5,4.4,4.2,4.28,4.17,4.43,4.2
2.6,4.4,4.9,4.9,4.4,4.57,4.4,3.5,4.65,4.65,3.97,4.08,3.97,4.57,3.8
2.8,4,4,4.7,4.7,4.47,4.35,3.75,4.35,4.35,4.07,4.05,3.83,4.23,3.83
4,4,4,2,4,3.33,4,4,3,4,3.33,3.5,4,4,4
3.6,3.4,3.4,2.8,2.6,2.93,3,3.1,3.1,3,3,3.1,3.2,3.13,3.2
